__label__negative, 上 を 向い て 歩い て も 何 も 変わら ない 
__label__negative, 目的地 に 着く 前 に 溜め息 を つい た 嘘 も つい た なら そこ が 目的地 だ 
__label__negative, 所詮 この世 は 能力 が ある 奴 が 生き残る 能力 が ある から 友 が 出来 能力 が ある から 努力 が 出来 能力 が ある から 何 でも 出来る じゃあ 俺 は 何 だ 何 が 出来る 
__label__negative, なんで 生き て いる ん だろ う か 生き て 何 を し たい の だろ う か 生き て い て 何 か ある だろ う か 生きる という こと へ の 意味 を 感じ られ ない 
__label__negative, 自分 が 傷つか ない 番 の 方法 は 他人 を 信用 し ない こと 
__label__negative, 信頼 できる 人 が 人 で も いれ ば いい 信じ られる 親友 が 人 でも いる なら 他 は いら ない って その 信じ てる 人 は 本当に 信じ れる 人 な の 結局 信じ られる の は 自分 だけ でも 自分 も 自分 を 騙し て 生き てる から もう 何 も 信じ られ ない 
__label__negative, 私 を 蹴 落とし て 貴方 が 手 に 入れ た 友情 は 美味しい です か 
__label__negative, みんな 俺 の こと 嫌わ れ 者 とか いじめ られ て て 可哀そう とか 言っ てる けど 俺 を そうした の は 誰 だ よ 
__label__negative, 負け ない 事 投げ出さ ない 事 挫け ない 事 信じ ぬく 事 これら を 守っ て い たら 何 も 報わ れ ず 無気力 に なり まし たどう し て くれる ん です か 
__label__negative, 死 の 間際 笑顔 で い られ たら それ は きっと 意味 の ある人生 だっ た ん だ 
__label__negative, ぼっち は 怖く ない 周り の 目 が 怖い ん だ よ 
__label__negative, 生き て いれ ば 必ず 良い こと が ある もう 待ちくたびれ た よ 
__label__negative, 上 を 向い たら 蹴躓く 下 を 向い たら 前 が 見え ない でも ね 前 を 向い たら 現実 に ぶつかる ん だ よ 
__label__negative, 不幸 じゃ ない から と いっ て 幸福 な わけ で も ない 
__label__negative, こんな 世界 守る 価値 も ない し 壊す 価値 も ない か と いっ て 利用 する 価値 も 無い 役立た ず の ゴミ箱 よ 
__label__negative, もう さぁ いっそ の こと 誰 でも いい から 俺 に 思いっきり 面 と 向かっ て 言っ て 欲しい よ お前 は 何 を やっ て も 駄目 な 存在 価値 の ない ゴミ な ん だ から 大人しく 高速道路 の 下 に でも 寝そべっ てろ よ って なん で みんな 中途半端 に 希望 を 持た せる よう な こと ばかり 言う の か な 俺 は まだ やれる ん だ と 勘違い し ちゃう よ 
__label__negative, 夢 は 叶わ ない から 夢 な ん だ よ 
__label__negative, 成功 し た 人 の 言葉 だけ しか 世の中 に は 回ら ない から 自分 も できる ん だ と 錯覚 し て しまう の だ 失敗 し た 人 の 言葉 は 掻き 消さ れる から ね 
__label__negative, 成功 する まで 努力 し なけれ ば それ は まだ 努力 と は 言え ない そして 努力 し 続け て 報わ れ ず に 一生 を 無駄 に し まし た と さ おしまい 
__label__negative, 信じていれば 強く 願っ て いれ ば 努力 し て いれ ば 夢 は 叶う とかいう の は 激 レア な たまたま 成功 し た 人 が 発言 でき て いる だけ で 信じ て も 願っ て も 努力 し て も 叶わ ない の 人 は 何 も 言え ず に 死ん でる だけ だ から ね 基本的 に 叶わ ない から 気 を 付け て ね 
__label__negative, ダメ な やつ が まとも に なる と えらく 誉め られる が まとも な やつ が さらに まとも に なっ て も 全く 誉め られ ない という か むしろ 気づか れ ない 
__label__negative, 希望 が 連れ て 来る の は いつも 絶望 絶望 が 連れ て 来る の も いつも 絶望 絶望 こそ が 現実 
__label__negative, つくる の は 時間 が かかる けど 壊れる の は 一瞬 
__label__negative, “ 努力 は 必ず 報わ れる まるで 自分 に 言い聞かせ てる みたい 
__label__negative, みんな し て 俺 の こと を ネガティブ とか 暗い とか 逃げ てる なんて 言う けど 俺 は あん たら と 違っ て 現実主義者 な だけ だ よ な んで 現実 を 主張 する だけ で そんな こと 言う の 否定 する って 言う こと は あんた ら も 薄々 理解 し てる ん じゃ ない の 認め たくない から そう やっ て 否定 する ん でしょ そういう 態度 こそ が 一番 醜い と 思う よ 
__label__negative, 何 か に 秀で たり 特出 し て いる 天才 という の は 過酷 な 環境 や 不条理 の 中 から 生まれる 
__label__negative, どうせ 後悔 する なら 信じ ない 方 が いい 
__label__negative, 私 は 愛さ れる 努力 を し て いる の に 報わ れ ない のに あの 子 は 努力 も せ ず に 愛さ れ てる 何 が そんなに ダメ な ん です か 
__label__negative, 失敗 し て も 何度 も 何度 も やり直せ ば いい と よく 言う が 失敗 の 中 に は 絶対 に し て は いけ ない 失敗 取り返し の つか ない 失敗 という もの が ある ん だ よ その こと を 理解 し て いる の かい だ から みんな 慎重 に 生き て いる ん だ よ 
__label__negative, 助け合っ て 生き て いる ん じゃなくて 誰か の 犠牲 で 成り立っ て 生き て いる ん だ と 僕は思う 
__label__negative, 幸福 な 人生 を 歩み たけれ ば 理性 価値観 倫理観 あらゆる 人間性 を 捨てれ ば なれる よ 考える という こと を 放棄 すれ ば 幸福 だ よ 
__label__negative, 誰 の 一番 に も なれ ない 誰か の 一番 に なり たい 
__label__negative, 逃げる こと は そんなに 悪い こと です か 可能性 は 無限 だ とか 道 は いくらでも ある とか 言う じゃん それなら 一 回 選ん で も 違う と 感じ たら 逃げ て 戻っ て 考え直し たら いけ ない の 
__label__negative, 正しい 事 を し てる 奴 ほど 背負う もの が 重い 
